keys,fr
ui.hud.aide_bascule,{touche} : masquer cette aide
skill.baton_ferre.name,Bâton ferré
skill.epee_courte.name,Épée courte
skill.espadon.name,Espadon
skill.faux_de_guerre.name,Faux de guerre
skill.gourdin.name,Gourdin
skill.hache_double.name,Hache double
skill.hachette.name,Hachette
skill.hallebarde.name,Hallebarde
skill.marteau_guerre.name,Marteau de guerre
skill.masse_ailettes.name,Masse à ailettes
skill.pioche_combat.name,Pioche de combat
skill.rapiere.name,Rapière
skill.trident.name,Trident
skill.tranchant.name,Tranchant
skill.percant.name,Perçant
skill.contondant.name,Contondant
skill.dual_wielding.name,Deux armes
skill.bouclier.name,Bouclier
skill.deux_mains.name,Deux mains
skill.magie_offensive.name,Magie offensive
skill.magie_defensive.name,Magie défensive
skill.discretion.name,Discrétion
skill.athletisme.name,Athlétisme
skill.lecture.name,Lecture
skill.negociation.name,Négociation
skill.leadership.name,Leadership
skill.dressage.name,Dressage
skill.agriculture.name,Agriculture
skill.elevage.name,Élevage
skill.navigation.name,Navigation
skill.alchimie.name,Alchimie
skill.couture.name,Couture
item.rondache.name,Rondache
functionality.rondache.name,Rondache
item.ecu.name,Écu
functionality.ecu.name,Écu
item.pavois.name,Pavois
functionality.pavois.name,Pavois
ui.toast.collection_don,Pièce ajoutée à la collection — l'objet est détruit.
ui.menu.onglet.collection,Collection
ui.menu.touches,Touches
ui.menu.touches_aide,Cliquez sur une touche pour la réaffecter.
ui.menu.touches_appuyez,Appuyez sur la nouvelle touche (Échap pour annuler).
ui.menu.touches_attente,...
ui.menu.touches_defaut,Rétablir les touches par défaut
ui.menu.touches_cat_deplacement,Déplacement
ui.menu.touches_cat_monde,Monde
ui.menu.touches_cat_modules,Modules
ui.menu.touches_cat_interface,Interface
ui.menu.multi_experimental,"Expérimental : seuls les autres joueurs et les blocs sont partagés. Les créatures, l'heure, l'inventaire et le combat ne sont pas synchronisés."
ui.collection.progression,{offerts} / {total} pièces ({pct} %)
ui.collection.page,Page {page} / {pages}
ui.collection.manquant,manquant
ui.collection.offrir,Offrir (détruit l'objet)
ui.collection.deja_mieux,"Déjà en collection, en meilleure qualité"
ui.collection.rien_a_offrir,Aucun exemplaire en inventaire
ui.collection.tri,Trier par :
ui.collection.tri_nom,Nom
ui.collection.tri_type,Type
ui.collection.tri_etat,Manquants d'abord
ui.collection.tri_qualite,Qualité
ui.collection.qualite,qualité {palier}
dialogue.salut_neutre,"Bonjour, voyageur."
dialogue.meteo,"Le temps sera clément, je crois."
dialogue.occupe,Je n'ai guère le temps de bavarder.
dialogue.matin,"Debout de bonne heure, à ce que je vois."
dialogue.soir,La nuit tombe. Rentrez donc.
dialogue.nuit,Que faites-vous dehors à cette heure ?
dialogue.hostile_1,Vous ! Éloignez-vous de moi.
dialogue.hostile_2,On sait ce que vous avez fait.
dialogue.mefiant_1,Je vous ai à l'œil.
dialogue.mefiant_2,Passez votre chemin.
dialogue.amical_1,Content de vous revoir !
dialogue.amical_2,Vous êtes toujours le bienvenu ici.
dialogue.devoue_1,"Si vous avez besoin de quoi que ce soit, demandez."
dialogue.devoue_2,"On parle de vous en bien, par ici."
dialogue.forgeron_1,La forge ne s'éteint jamais complètement.
dialogue.forgeron_2,"Apportez-moi du bon minerai, on verra."
dialogue.garde_1,Rien à signaler. Tant mieux.
dialogue.garde_2,Gardez vos armes rangées en ville.
dialogue.fermier_1,La terre donne ce qu'on lui donne.
dialogue.fermier_2,Encore une saison comme celle-ci et je souffle.
dialogue.vendeur_1,Jetez donc un œil à ma marchandise.
dialogue.vendeur_2,Tout se négocie. Presque tout.
dialogue.cuisinier_1,Ça mijote. Repassez plus tard.
dialogue.mineur_1,La roche est dure par ici.
dialogue.bucheron_1,"Le bois vert ne vaut rien, souvenez-vous-en."
dialogue.eleveur_1,Les bêtes se portent bien.
dialogue.herboriste_1,Chaque plante a son usage. Et son heure.
dialogue.couturier_1,Une bonne étoffe vaut une bonne armure.
dialogue.transporteur_1,Les routes ne sont plus si sûres.
ui.dialogue.parler,Parler
ui.dialogue.offrir,Offrir un cadeau
ui.dialogue.commercer,Commercer
ui.dialogue.quetes,Quêtes
ui.dialogue.recruter,Recruter
ui.dialogue.fermer,Prendre congé
ui.dialogue.metier,{metier}
ui.dialogue.relation,Relation : {palier}
ui.dialogue.deja_parle,Vous avez déjà parlé aujourd'hui
ui.dialogue.rien_a_offrir,Rien à offrir
ui.dialogue.pas_marchand,Ce n'est pas un marchand
ui.dialogue.pas_de_quetes,N'a rien à proposer
ui.dialogue.pas_recrutable,Ne vous suivra pas
ui.dialogue.cadeau_accepte,{nom} accepte votre présent.
ui.dialogue.interagir,E : parler
relation.hostile,hostile
relation.mefiant,méfiant
relation.neutre,neutre
relation.amical,amical
relation.devoue,dévoué
job.garde,Garde
job.fermier,Fermier
job.forgeron,Forgeron
job.vendeur,Marchand
job.cuisinier,Cuisinier
job.mineur,Mineur
job.bucheron,Bûcheron
job.eleveur,Éleveur
job.couturier,Couturier
job.herboriste,Herboriste
job.transporteur,Transporteur
ui.toast.villageois_tue,Un habitant du village est mort.
ui.toast.coffre_boss,Le boss lâche un coffre !
gouvernance.monarchie_hereditaire,monarchie héréditaire
gouvernance.republique_elue,république élue
gouvernance.theocratie,théocratie
gouvernance.ploutocratie,ploutocratie
gouvernance.dictature_militaire,dictature militaire
gouvernance.anarchie,anarchie
taille_royaume.hameau_etat,hameau-État
taille_royaume.cite_etat,cité-État
taille_royaume.petit_royaume,petit royaume
taille_royaume.grand_royaume,grand royaume
ui.hud.cle.royaume,Royaume
ui.hud.terres_sauvages,terres sauvages (sans loi)
ui.loi.amende,Amende prélevée : la loi locale l'interdit.
ui.loi.confiscation,Objet confisqué : il est illégal ici.
ui.loi.saisie,"Faute de pouvoir payer, un bien vous est saisi."
ui.loi.gardes_hostiles,Les gardes du royaume vous cherchent.
ui.hud.cle.lois,Lois
ui.hud.cle.localite,Localité
ui.hud.souris,"Clic gauche (maintenu) : récolter/sculpter/attaquer · Clic droit : poser, ou tourner un objet posé à main vide · Ctrl+clic droit : poser/reprendre un objet"
ui.hud.hotbar,1-9/molette : choisir · Ctrl+1-9/molette : banque
ui.input.move_forward,marcher
ui.input.jump,sauter
ui.input.toggle_fly,vol/marche
ui.input.sprint,sprint
ui.input.sneak,marche lente
ui.input.move_back,reculer
ui.input.move_left,aller à gauche
ui.input.move_right,aller à droite
ui.input.descend,descendre
ui.input.cycle_grid,grille 32/16/8/4
ui.input.equip,équiper
ui.input.sleep,dormir
ui.input.toggle_claim,revendiquer
ui.input.cycle_claim_role,rôle de la cellule
ui.input.stall_stock,mettre en vente (étal visé)
ui.input.module_1,modules
ui.input.module_2,module 2
ui.input.module_3,module 3
ui.input.inventory,inventaire
ui.input.world_map,carte
ui.input.map_legend,couche de la carte
ui.input.debug_hud,aide et diagnostic
ui.input.cheat_menu,menu de triche
ui.input.reload_data,recharger les données
ui.input.save_game,sauvegarder
ui.loi.aucune,aucune (anarchie)
ui.loi.interdit,{objet} interdit
ui.erreur.save_illisible,Sauvegarde illisible ou endommagée.
ui.erreur.save_trop_recente,Sauvegarde créée par une version plus récente du jeu.
ui.erreur.save_trop_ancienne,Sauvegarde trop ancienne : ce jeu ne sait plus la lire.
ui.erreur.chunks_perdus,Certaines zones modifiées n'ont pas pu être relues.
loi.meurtre,meurtre puni
loi.vol,vol puni
loi.agression,agression punie
ui.menu.onglet.combat,Combat
ui.menu.combat_aide,Glissez une arme ou un bouclier sur une main. La posture se déduit de ce que vous portez.
ui.menu.posture_competence,Entraîne : {competence}
ui.posture.mains_nues,Mains nues
ui.posture.une_main,Arme à une main
ui.posture.deux_mains,Arme à deux mains
ui.posture.arme_bouclier,Arme et bouclier
ui.posture.deux_armes,Deux armes
ui.combat.fiche,Allonge {allonge} m · {des} · vitesse {vitesse} · parade {parade} ms · endurance {endurance} · {mains} main(s)
ui.combat.bouclier_ligne,Bouclier : couverture {couverture} · absorption {absorption} %
ui.toast.deux_mains_occupe,Une arme à deux mains occupe déjà les deux mains.
ui.combat.pare_par_adversaire,Coup paré — il a lu votre direction.
ui.combat.garde_ecrasee,Garde écrasée — le coup passe au travers.
ui.combat.bouclier_brise,Votre bouclier se brise !
ui.combat.bouclier_structure,Bouclier : {reste} / {total}
ui.combat.attaques,Attaques : {directions}
ui.direction.estoc,estoc
ui.direction.taille_gauche,taille gauche
ui.direction.taille_droite,taille droite
ui.direction.overhead,coup haut
ui.combat.feinte_adverse,Feinte — le coup annoncé n'est pas venu.
munition.fleche.name,Flèche
munition.carreau.name,Carreau
ui.combat.carquois_vide,Carquois vide.
material.andesite_taillee.name,Andésite taillée
transformation.taille_andesite_taillee.name,Tailler : Andésite
material.ardoise_taillee.name,Ardoise taillée
transformation.taille_ardoise_taillee.name,Tailler : Ardoise
material.basalte_taillee.name,Basalte taillé
transformation.taille_basalte_taillee.name,Tailler : Basalte
material.breche_volcanique_taillee.name,Brèche volcanique taillée
transformation.taille_breche_volcanique_taillee.name,Tailler : Brèche volcanique
material.calcaire_taillee.name,Calcaire taillé
transformation.taille_calcaire_taillee.name,Tailler : Calcaire
material.calcite_taillee.name,Calcite taillée
transformation.taille_calcite_taillee.name,Tailler : Calcite
material.conglomerat_taillee.name,Conglomérat taillé
transformation.taille_conglomerat_taillee.name,Tailler : Conglomérat
material.craie_taillee.name,Craie taillée
transformation.taille_craie_taillee.name,Tailler : Craie
material.diorite_taillee.name,Diorite taillée
transformation.taille_diorite_taillee.name,Tailler : Diorite
material.dolomie_taillee.name,Dolomie taillée
transformation.taille_dolomie_taillee.name,Tailler : Dolomie
material.gneiss_taillee.name,Gneiss taillé
transformation.taille_gneiss_taillee.name,Tailler : Gneiss
material.granit_taillee.name,Granit taillé
transformation.taille_granit_taillee.name,Tailler : Granit
material.granit_noir_taillee.name,Granit noir taillé
transformation.taille_granit_noir_taillee.name,Tailler : Granit noir
material.gres_taillee.name,Grès taillé
transformation.taille_gres_taillee.name,Tailler : Grès
material.gypse_taillee.name,Gypse taillé
transformation.taille_gypse_taillee.name,Tailler : Gypse
material.kimberlite_taillee.name,Kimberlite taillée
transformation.taille_kimberlite_taillee.name,Tailler : Kimberlite
material.marbre_taillee.name,Marbre taillé
transformation.taille_marbre_taillee.name,Tailler : Marbre
material.obsidienne_taillee.name,Obsidienne taillée
transformation.taille_obsidienne_taillee.name,Tailler : Obsidienne
material.peridotite_taillee.name,Péridotite taillée
transformation.taille_peridotite_taillee.name,Tailler : Péridotite
transformation.taille_pierre_taillee.name,Tailler : Pierre
material.pierre_ponce_taillee.name,Pierre ponce taillée
transformation.taille_pierre_ponce_taillee.name,Tailler : Pierre ponce
material.quartzite_taillee.name,Quartzite taillé
transformation.taille_quartzite_taillee.name,Tailler : Quartzite
material.rhyolite_taillee.name,Rhyolite taillée
transformation.taille_rhyolite_taillee.name,Tailler : Rhyolite
material.schiste_taillee.name,Schiste taillé
transformation.taille_schiste_taillee.name,Tailler : Schiste
material.serpentinite_taillee.name,Serpentinite taillée
transformation.taille_serpentinite_taillee.name,Tailler : Serpentinite
material.silex_taillee.name,Silex taillé
transformation.taille_silex_taillee.name,Tailler : Silex
material.travertin_taillee.name,Travertin taillé
transformation.taille_travertin_taillee.name,Tailler : Travertin
material.tuf_volcanique_taillee.name,Tuf volcanique taillé
transformation.taille_tuf_volcanique_taillee.name,Tailler : Tuf volcanique
item.grimoire.name,Grimoire
item.manuel_de_combat.name,Manuel de combat
lecture.echec.etourdissement,Étourdissement
lecture.echec.perte_mana,Perte de mana
lecture.echec.confusion,Confusion
lecture.echec.invocation,Invocation hostile
module.boule_de_feu.name,Boule de feu
module.nappe_de_flammes.name,Nappe de flammes
module.eclat_de_glace.name,Éclat de glace
module.emprise_du_gel.name,Emprise du gel
module.arc_electrique.name,Arc électrique
module.fulguration.name,Fulguration
module.eclat_de_pierre.name,Éclat de pierre
module.carapace_de_roche.name,Carapace de roche
module.regeneration.name,Régénération
module.bouclier_arcane.name,Bouclier arcane
module.clignotement.name,Clignotement
module.rappel.name,Rappel
module.drain_vital.name,Drain vital
module.offrande_de_sang.name,Offrande de sang
module.taillade_large.name,Taillade large
module.estoc_perforant.name,Estoc perforant
module.garde_de_fer.name,Garde de fer
module.posture_agile.name,Posture agile
module.charge_epaule.name,Charge d'épaule
module.contre_riposte.name,Contre-riposte
module.double_lancer.name,Double lancer
module.triple_lancer.name,Triple lancer
module.portee_accrue.name,Portée accrue
module.projection_rapide.name,Projection rapide
module.guidage.name,Guidage
module.ricochet.name,Ricochet
module.declencheur_impact.name,Déclencheur à l'impact
module.declencheur_retarde.name,Déclencheur retardé
ui.module.vide,(vide)
ui.module.declenche.impact,à l'impact
ui.module.declenche.delai,après un délai
ui.module.declenche.parade,sur parade
ui.menu.assemblage,Assemblage des compétences
ui.menu.assemblage_aide,Range tes modules de gauche à droite : l'ordre décide de ce qui part. Un modificateur altère l'effet qui le SUIT ; un déclencheur envoie tout le reste à l'impact.
ui.menu.assemblage_slot,Compétence {n}
ui.menu.assemblage_cout,{cout} mana
ui.menu.assemblage_sans_arme,Équipe une arme pour assembler ses compétences.
ui.menu.assemblage_aucun_module,Aucun module appris. Lis un grimoire ou un manuel de combat.
status.brulure.name,Brûlure
status.ralentissement.name,Ralentissement
status.gel.name,Gel
status.poison.name,Poison
status.saignement.name,Saignement
status.etourdi.name,Étourdi
status.confusion.name,Confusion
status.terreur.name,Terreur
status.infection.name,Infection
status.affaibli.name,Affaibli
status.regeneration.name,Régénération
status.peau_de_pierre.name,Peau de pierre
status.hate.name,Hâte
status.beni.name,Béni
ui.input.interact,interagir
ui.toast.station_ouverte,{station} — artisanat ouvert
ui.toast.etal_vide,Rien à encaisser
ui.toast.lecture_reussie,Lecture réussie : {modules} module(s) appris
ui.toast.lecture_echouee,Lecture échouée — le livre est perdu
material.coffre.name,Coffre
material.grand_coffre.name,Grand coffre
transformation.fab_coffre.name,Fabriquer un coffre
transformation.fab_grand_coffre.name,Fabriquer un grand coffre
ui.coffre.titre,{coffre} — {utilise}/{capacite}
ui.coffre.vide,Coffre vide
ui.toast.coffre_pris,Coffre vidé : {objets} objet(s), {or_} or
ui.toast.coffre_plein,Coffre plein
ui.menu.assemblage_armes,Techniques d'arme
ui.menu.assemblage_sorts,Sorts
ui.menu.assemblage_niveau,{competence} — niveau {niveau}
ui.menu.assemblage_reserve_vide,Aucun module de ce type appris.
ui.module.role.effet,Effet
ui.module.role.modificateur,Modificateur
ui.module.role.declencheur,Déclencheur
module.enchainement_double.name,Enchaînement double
module.enchainement_triple.name,Enchaînement triple
module.allonge_accrue.name,Allonge accrue
module.frappe_vive.name,Frappe vive
ui.coffre.inventaire,Inventaire
ui.coffre.contenu,Coffre
ui.coffre.tout_deposer,Tout déposer
ui.coffre.tout_prendre,Tout prendre
ui.coffre.fermer,Fermer
ui.coffre.or,{or_} or
ui.coffre.aide,Clic sur une ligne : la déplacer d'un côté à l'autre. Échap ou E pour fermer.
item.foreuse.name,Foreuse
functionality.foreuse.name,Foreuse
item.foreuse_plus.name,Foreuse Plus
functionality.foreuse_plus.name,Foreuse Plus
item.foreuse_pro.name,Foreuse Pro
functionality.foreuse_pro.name,Foreuse Pro
item.foreuse_max.name,Foreuse Max
functionality.foreuse_max.name,Foreuse Max
material.pousse.name,Pousse
ui.toast.pousse_grandie,Une pousse est devenue un arbre.
dimension.donjon.name,Donjon
dimension.faille_de_mana.name,Faille de mana
season.printemps.name,Printemps
season.ete.name,Été
season.automne.name,Automne
season.hiver.name,Hiver
tree.paletuvier.name,Palétuvier
tree.arbre_mort.name,Arbre mort
tree.pin_parasol.name,Pin parasol
tree.fromager.name,Fromager
tree.genevrier.name,Genévrier
material.bois_paletuvier.name,Bois de palétuvier
material.feuilles_paletuvier.name,Feuilles de palétuvier
material.bois_mort.name,Bois mort
material.bois_pin_parasol.name,Bois de pin parasol
material.feuilles_pin_parasol.name,Aiguilles de pin parasol
material.bois_fromager.name,Bois de fromager
material.feuilles_fromager.name,Feuilles de fromager
material.bois_genevrier.name,Bois de genévrier
material.feuilles_genevrier.name,Feuilles de genévrier
tree.pin_montagne.name,Pin à crochets
tree.saxaoul.name,Saxaoul
tree.tamaris.name,Tamaris
material.bois_pin_montagne.name,Bois de pin à crochets
material.feuilles_pin_montagne.name,Aiguilles de pin à crochets
material.bois_saxaoul.name,Bois de saxaoul
material.feuilles_saxaoul.name,Feuilles de saxaoul
material.bois_tamaris.name,Bois de tamaris
material.feuilles_tamaris.name,Feuilles de tamaris
tree.arbre_torsade.name,Arbre torsadé
tree.arbre_geant_songe.name,Colosse des songes
tree.champignon_songe.name,Champignon des songes
tree.arbre_lanterne.name,Arbre-lanterne
material.herbe_azuree.name,Herbe azurée
material.herbe_amethyste.name,Herbe améthyste
material.herbe_dragee.name,Herbe dragée
material.herbe_menthe.name,Herbe menthe
material.terre_songe.name,Terre des songes
material.roche_songe.name,Roche des songes
material.roche_nacree.name,Roche nacrée
material.quartz_rose.name,Quartz rose
material.cristal_azur.name,Cristal d'azur
material.bois_torsade.name,Bois torsadé
material.bois_perle.name,Bois perlé
material.bois_geant.name,Bois de colosse
material.feuillage_coton.name,Feuillage cotonneux
material.feuillage_lueur.name,Feuillage luminescent
material.feuillage_azur.name,Feuillage d'azur
material.chapeau_songe.name,Chapeau des songes
biome.prairie_azuree.name,Prairie azurée
biome.collines_dragee.name,Collines dragée
biome.bois_colosses.name,Bois des colosses
biome.plateaux_suspendus.name,Plateaux suspendus
biome.cimes_tordues.name,Cimes tordues
biome.mer_de_nuages.name,Mer de nuages
biome.foret_de_verre.name,Forêt de verre
biome.dunes_irisees.name,Dunes irisées
biome.champs_solaires.name,Champs solaires
biome.recif_corallien.name,Récif corallien
biome.cathedrale_cristal.name,Cathédrale de cristal
tree.arbre_de_verre.name,Arbre de verre
tree.arbre_nuage.name,Arbre-nuage
tree.tournesol_geant.name,Tournesol géant
material.nuage_compact.name,Nuage compact
material.brume_solide.name,Brume solide
material.verre_songe.name,Verre des songes
material.sable_irise.name,Sable irisé
material.nacre_dune.name,Nacre de dune
material.mousse_lumineuse.name,Mousse lumineuse
material.pierre_lueur.name,Pierre de lueur
material.cristal_solaire.name,Cristal solaire
material.herbe_safran.name,Herbe safran
material.roche_ambre.name,Roche d'ambre
material.herbe_corail.name,Herbe corail
material.roche_corail.name,Roche corail
material.bois_de_verre.name,Bois de verre
material.feuillage_prisme.name,Feuillage prismatique
material.bois_nuage.name,Bois de nuage
material.feuillage_plume.name,Feuillage duveteux
material.bois_solaire.name,Bois solaire
material.feuillage_solaire.name,Corolle solaire
biome.landes_lavande.name,Landes de lavande
biome.lagon_turquoise.name,Lagon turquoise
biome.plaine_cendree.name,Plaine cendrée
biome.velours_pourpre.name,Velours pourpre
biome.toundra_givree.name,Toundra givrée
biome.terrasses_ambre.name,Terrasses d'ambre
biome.marbrerie.name,Marbrerie
tree.arbre_neige.name,Arbre de neige
tree.arbre_velours.name,Arbre de velours
tree.arbre_creux.name,Arbre creux
tree.champignon_paroi_geant.name,Champignon de paroi
material.herbe_lavande.name,Herbe lavande
material.herbe_turquoise.name,Herbe turquoise
material.cendre_etoilee.name,Cendre étoilée
material.sol_velours.name,Sol de velours
material.givre_songe.name,Givre des songes
material.basalte_lunaire.name,Basalte lunaire
material.marbre_iris.name,Marbre iris
material.obsidienne_claire.name,Obsidienne claire
material.gres_stellaire.name,Grès stellaire
material.roche_bulle.name,Roche bulle
material.mithril_songe.name,Mithril des songes
material.orichalque.name,Orichalque
material.larme_de_lune.name,Larme de lune
material.coeur_prisme.name,Cœur prisme
material.veine_aurore.name,Veine d'aurore
material.stalactite_lueur.name,Stalactite de lueur
material.champignon_paroi.name,Champignon de paroi
material.bois_spirale.name,Bois spiralé
material.feuillage_neige.name,Feuillage de neige
material.bois_velours.name,Bois de velours
material.feuillage_vin.name,Feuillage lie-de-vin
material.bois_creux.name,Bois creux
material.feuillage_ambre.name,Feuillage ambré
material.herbe_haute.name,Herbe haute
material.roseau.name,Roseau
material.ble.name,Blé
material.orge.name,Orge
material.avoine.name,Avoine
material.riz.name,Riz
material.mais.name,Maïs
material.plant_tomate.name,Plant de tomate
material.plant_pomme_de_terre.name,Plant de pomme de terre
material.plant_carotte.name,Fanes de carotte
material.plant_chou.name,Chou
material.plant_oignon.name,Oignon
material.plant_courge.name,Courge
material.plant_fraise.name,Fraisier
material.vigne_raisin.name,Vigne
material.safran.name,Safran
material.poivrier.name,Poivrier
material.menthe.name,Menthe
material.thym.name,Thym
material.basilic.name,Basilic
material.camomille.name,Camomille
material.sauge.name,Sauge
material.coquelicot.name,Coquelicot
material.bleuet.name,Bleuet
material.marguerite.name,Marguerite
material.lavande_fleur.name,Lavande
material.tournesol.name,Tournesol
material.touffe_seche.name,Touffe sèche
material.seigle.name,Seigle
material.millet.name,Millet
material.sarrasin.name,Sarrasin
material.quinoa.name,Quinoa
material.haricot.name,Haricot
material.pois.name,Pois
material.lentille.name,Lentille
material.navet.name,Navet
material.betterave.name,Betterave
material.radis.name,Radis
material.panais.name,Panais
material.epinard.name,Épinard
material.laitue.name,Laitue
material.poireau.name,Poireau
material.artichaut.name,Artichaut
material.asperge.name,Asperge
material.aubergine.name,Aubergine
material.poivron.name,Poivron
material.concombre.name,Concombre
material.melon.name,Melon
material.ail.name,Ail
material.persil.name,Persil
material.romarin.name,Romarin
material.origan.name,Origan
material.coriandre.name,Coriandre
material.ortie.name,Ortie
material.pissenlit.name,Pissenlit
material.trefle.name,Trèfle
material.chardon.name,Chardon
material.lin_plante.name,Lin
material.pavot.name,Pavot
material.objet.name,Objet posé
category.objet.name,Objet
ui.toast.objet_repris,Objet repris
ui.toast.objet_equipe,Objet équipé : le déséquiper avant de le poser
ui.menu.vitrine,Monde vitrine
ui.menu.vitrine_aide,"Dalle plate garnie de tout le contenu du jeu, une rangée par catégorie."
vitrine.plantes,Plantes
vitrine.arbres,Arbres
vitrine.structures,Structures
vitrine.overworld,Monde
vitrine.hors_monde,Objets
item_type.arme.name,Armes
item_type.armure.name,Armures
item_type.bouclier.name,Boucliers
item_type.outil.name,Outils
item_type.livre.name,Livres
